Subject,Frequency
Accidents and Safety,2970
Oil (Petroleum) and Gasoline,2728
Books and Literature,2508
Offshore Drilling and Exploration,2420
Baseball,2266
Soccer,2112
World Cup 2010 (Soccer),2090
Weddings and Engagements,1870
United States Politics and Government,1870
Politics and Government,1793
Medicine and Health,1661
Music,1661
Law and Legislation,1540
Housing and Real Estate,1518
Art,1507
Regulation and Deregulation of Industry,1463
Movies,1353
Theater,1342
Computers and the Internet,1331
United States Defense and Military Forces,1309
